test,os,id,time
mem,lin,1,12.758
mem,lin,2,12.494
mem,lin,3,12.601
mem,lin,4,12.66
mem,lin,5,12.688
mem,lin,6,12.713
mem,lin,7,12.672
mem,lin,8,12.708
mem,lin,9,12.763
mem,lin,10,12.702
mem,lin,11,12.776
mem,lin,12,12.584
mem,lin,13,12.689
mem,lin,14,12.705
mem,lin,15,12.737
mem,lin,16,12.768
mem,lin,17,12.76
mem,lin,18,12.657
mem,lin,19,12.681
mem,lin,20,12.701
mem,lin,21,12.755
mem,lin,22,12.689
mem,lin,23,12.705
mem,lin,24,12.726
mem,lin,25,12.701
mem,lin,26,12.609
mem,lin,27,12.759
mem,lin,28,12.635
mem,lin,29,12.614
mem,lin,30,12.791
mem,win,1,
mem,win,2,
mem,win,3,
mem,win,4,
mem,win,5,
mem,win,6,
mem,win,7,
mem,win,8,
mem,win,9,
mem,win,10,
mem,win,11,
mem,win,12,
mem,win,13,
mem,win,14,
mem,win,15,
mem,win,16,
mem,win,17,
mem,win,18,
mem,win,19,
mem,win,20,
mem,win,21,
mem,win,22,
mem,win,23,
mem,win,24,
mem,win,25,
mem,win,26,
mem,win,27,
mem,win,28,
mem,win,29,
mem,win,30,
